,wtg01_ambient windspeed avg. (1),wtg01_ambient winddir absolute avg. (8),wtg01_ambient temp. avg. (15),wtg01_grid production power avg. (22),month,hour
wtg01_ambient windspeed avg. (1),1.0,-0.34300693762113355,-0.16638106355345172,0.9237903437641177,-0.205126920927424,0.023482129292607914
wtg01_ambient winddir absolute avg. (8),-0.34300693762113355,1.0,0.032393558106704586,-0.3594317265880281,0.3177499656685061,-0.07569687046244712
wtg01_ambient temp. avg. (15),-0.16638106355345172,0.032393558106704586,1.0,-0.1284486829897234,0.0667566598067013,0.1463028649812917
wtg01_grid production power avg. (22),0.9237903437641177,-0.3594317265880281,-0.1284486829897234,1.0,-0.18924579020899793,0.020278634263591108
month,-0.205126920927424,0.3177499656685061,0.0667566598067013,-0.18924579020899793,1.0,-6.151950489996151e-16
hour,0.023482129292607914,-0.07569687046244712,0.1463028649812917,0.020278634263591108,-6.151950489996151e-16,1.0
