,wtg01_ambient windspeed avg. (1),wtg01_ambient winddir absolute avg. (8),wtg01_ambient temp. avg. (15),wtg01_grid production power avg. (22),month,hour
count,50556.0,50556.0,50556.0,50556.0,50556.0,50556.0
mean,6.724893341738403,122.27690042220031,26.954644902685718,1619.0316247419478,6.482613339662948,11.546245747290135
std,3.213123593881673,99.63527730862464,1.3475010473009152,1500.6965721296137,3.451263508151948,6.953624979456193
min,0.1,0.0,23.0,0.0,1.0,0.0
25%,4.2,23.5,26.0,256.315,3.0,6.0
50%,6.2,123.2,27.0,1101.748,6.0,12.0
75%,8.9,195.1,28.0,3056.849,9.0,18.0
max,22.2,359.0,33.0,4199.424,12.0,23.0
